raceId,driverId,lap,position,time
Spanish Grand Prix,webber,1,1,1:31.460
Spanish Grand Prix,vettel,1,2,1:32.211
Spanish Grand Prix,hamilton,1,3,1:33.114
Spanish Grand Prix,alonso,1,4,1:33.939
Spanish Grand Prix,button,1,5,1:34.658
Spanish Grand Prix,michael_schumacher,1,6,1:35.377
Spanish Grand Prix,massa,1,7,1:36.207
Spanish Grand Prix,sutil,1,8,1:36.717
Spanish Grand Prix,alguersuari,1,9,1:37.513
Spanish Grand Prix,kubica,1,10,1:38.045
Spanish Grand Prix,rosberg,1,11,1:38.435
Spanish Grand Prix,barrichello,1,12,1:38.788
Spanish Grand Prix,hulkenberg,1,13,1:39.151
Spanish Grand Prix,liuzzi,1,14,1:40.048
Spanish Grand Prix,trulli,1,15,1:40.643
Spanish Grand Prix,kobayashi,1,16,1:40.998
Spanish Grand Prix,glock,1,17,1:41.687
Spanish Grand Prix,chandhok,1,18,1:43.759
Spanish Grand Prix,petrov,1,19,1:43.913
Spanish Grand Prix,grassi,1,20,1:44.668
Spanish Grand Prix,buemi,1,21,1:46.064
Spanish Grand Prix,rosa,1,22,2:11.181
Spanish Grand Prix,alonso,1,1,1:34.494
Spanish Grand Prix,vettel,1,2,1:35.274
Spanish Grand Prix,webber,1,3,1:36.329
Spanish Grand Prix,hamilton,1,4,1:36.991
Spanish Grand Prix,petrov,1,5,1:38.084
Spanish Grand Prix,michael_schumacher,1,6,1:38.633
Spanish Grand Prix,rosberg,1,7,1:39.139
Spanish Grand Prix,massa,1,8,1:39.979
Spanish Grand Prix,buemi,1,9,1:40.611
Spanish Grand Prix,button,1,10,1:40.998
Spanish Grand Prix,perez,1,11,1:41.433
Spanish Grand Prix,alguersuari,1,12,1:41.876
Spanish Grand Prix,maldonado,1,13,1:42.255
Spanish Grand Prix,resta,1,14,1:42.808
Spanish Grand Prix,trulli,1,15,1:43.553
Spanish Grand Prix,kovalainen,1,16,1:44.276
Spanish Grand Prix,heidfeld,1,17,1:45.164
Spanish Grand Prix,sutil,1,18,1:46.107
Spanish Grand Prix,liuzzi,1,19,1:46.737
Spanish Grand Prix,barrichello,1,20,1:47.077
Spanish Grand Prix,glock,1,21,1:47.556
Spanish Grand Prix,karthikeyan,1,22,1:48.183
Spanish Grand Prix,ambrosio,1,23,1:48.573
Spanish Grand Prix,kobayashi,1,24,1:57.590
Spanish Grand Prix,alonso,1,1,1:33.726
Spanish Grand Prix,maldonado,1,2,1:35.034
Spanish Grand Prix,raikkonen,1,3,1:36.119
Spanish Grand Prix,rosberg,1,4,1:37.175
Spanish Grand Prix,grosjean,1,5,1:38.392
Spanish Grand Prix,michael_schumacher,1,6,1:38.764
Spanish Grand Prix,vettel,1,7,1:39.378
Spanish Grand Prix,button,1,8,1:40.104
Spanish Grand Prix,kobayashi,1,9,1:40.542
Spanish Grand Prix,vergne,1,10,1:40.893
Spanish Grand Prix,massa,1,11,1:41.325
Spanish Grand Prix,webber,1,12,1:41.889
Spanish Grand Prix,resta,1,13,1:42.348
Spanish Grand Prix,hulkenberg,1,14,1:42.673
Spanish Grand Prix,ricciardo,1,15,1:43.148
Spanish Grand Prix,kovalainen,1,16,1:43.592
Spanish Grand Prix,bruno_senna,1,17,1:44.152
Spanish Grand Prix,petrov,1,18,1:44.564
Spanish Grand Prix,glock,1,19,1:45.224
Spanish Grand Prix,hamilton,1,20,1:45.471
Spanish Grand Prix,pic,1,21,1:46.179
Spanish Grand Prix,rosa,1,22,1:46.617
Spanish Grand Prix,karthikeyan,1,23,1:47.079
Spanish Grand Prix,perez,1,24,2:04.682
Spanish Grand Prix,rosberg,1,1,1:34.590
Spanish Grand Prix,vettel,1,2,1:35.032
Spanish Grand Prix,alonso,1,3,1:35.662
Spanish Grand Prix,hamilton,1,4,1:36.328
Spanish Grand Prix,raikkonen,1,5,1:36.831
Spanish Grand Prix,perez,1,6,1:38.000
Spanish Grand Prix,massa,1,7,1:38.200
Spanish Grand Prix,sutil,1,8,1:38.939
Spanish Grand Prix,grosjean,1,9,1:39.396
Spanish Grand Prix,resta,1,10,1:39.883
Spanish Grand Prix,webber,1,11,1:40.257
Spanish Grand Prix,vergne,1,12,1:40.925
Spanish Grand Prix,hulkenberg,1,13,1:41.552
Spanish Grand Prix,ricciardo,1,14,1:41.943
Spanish Grand Prix,maldonado,1,15,1:42.539
Spanish Grand Prix,gutierrez,1,16,1:43.136
Spanish Grand Prix,button,1,17,1:43.457
Spanish Grand Prix,bottas,1,18,1:43.731
Spanish Grand Prix,garde,1,19,1:43.934
Spanish Grand Prix,chilton,1,20,1:44.371
Spanish Grand Prix,jules_bianchi,1,21,1:44.822
Spanish Grand Prix,pic,1,22,1:45.027
Spanish Grand Prix,hamilton,1,1,1:36.072
Spanish Grand Prix,rosberg,1,2,1:37.222
Spanish Grand Prix,bottas,1,3,1:38.418
Spanish Grand Prix,ricciardo,1,4,1:38.993
Spanish Grand Prix,grosjean,1,5,1:40.112
Spanish Grand Prix,raikkonen,1,6,1:40.717
Spanish Grand Prix,alonso,1,7,1:41.298
Spanish Grand Prix,massa,1,8,1:41.799
Spanish Grand Prix,hulkenberg,1,9,1:42.763
Spanish Grand Prix,perez,1,10,1:43.336
Spanish Grand Prix,gutierrez,1,11,1:43.799
Spanish Grand Prix,kvyat,1,12,1:44.283
Spanish Grand Prix,button,1,13,1:44.891
Spanish Grand Prix,vettel,1,14,1:45.306
Spanish Grand Prix,kevin_magnussen,1,15,1:46.473
Spanish Grand Prix,sutil,1,16,1:46.905
Spanish Grand Prix,jules_bianchi,1,17,1:47.132
Spanish Grand Prix,kobayashi,1,18,1:47.635
Spanish Grand Prix,vergne,1,19,1:47.717
Spanish Grand Prix,maldonado,1,20,1:48.117
Spanish Grand Prix,chilton,1,21,1:48.607
Spanish Grand Prix,ericsson,1,22,1:49.359
Spanish Grand Prix,rosberg,1,1,1:35.658
Spanish Grand Prix,vettel,1,2,1:36.832
Spanish Grand Prix,hamilton,1,3,1:38.042
Spanish Grand Prix,bottas,1,4,1:39.104
Spanish Grand Prix,raikkonen,1,5,1:39.950
Spanish Grand Prix,max_verstappen,1,6,1:40.837
Spanish Grand Prix,sainz,1,7,1:41.484
Spanish Grand Prix,massa,1,8,1:41.963
Spanish Grand Prix,grosjean,1,9,1:42.440
Spanish Grand Prix,ricciardo,1,10,1:43.028
Spanish Grand Prix,maldonado,1,11,1:43.399
Spanish Grand Prix,alonso,1,12,1:44.024
Spanish Grand Prix,kvyat,1,13,1:44.331
Spanish Grand Prix,nasr,1,14,1:44.865
Spanish Grand Prix,ericsson,1,15,1:45.239
Spanish Grand Prix,perez,1,16,1:45.766
Spanish Grand Prix,button,1,17,1:46.194
Spanish Grand Prix,hulkenberg,1,18,1:46.537
Spanish Grand Prix,merhi,1,19,1:47.600
Spanish Grand Prix,stevens,1,20,1:48.007
Spanish Grand Prix,ricciardo,1,1,1:53.669
Spanish Grand Prix,max_verstappen,1,2,1:54.582
Spanish Grand Prix,sainz,1,3,1:55.665
Spanish Grand Prix,vettel,1,4,1:56.984
Spanish Grand Prix,raikkonen,1,5,1:58.161
Spanish Grand Prix,bottas,1,6,1:58.967
Spanish Grand Prix,perez,1,7,2:00.031
Spanish Grand Prix,button,1,8,2:02.543
Spanish Grand Prix,alonso,1,9,2:03.037
Spanish Grand Prix,grosjean,1,10,2:03.549
Spanish Grand Prix,kvyat,1,11,2:04.694
Spanish Grand Prix,hulkenberg,1,12,2:05.281
Spanish Grand Prix,kevin_magnussen,1,13,2:06.702
Spanish Grand Prix,gutierrez,1,14,2:07.235
Spanish Grand Prix,jolyon_palmer,1,15,2:08.355
Spanish Grand Prix,nasr,1,16,2:09.287
Spanish Grand Prix,ericsson,1,17,2:10.300
Spanish Grand Prix,wehrlein,1,18,2:11.424
Spanish Grand Prix,massa,1,19,2:12.372
Spanish Grand Prix,haryanto,1,20,2:13.108
Spanish Grand Prix,vettel,1,1,1:29.278
Spanish Grand Prix,hamilton,1,2,1:31.485
Spanish Grand Prix,bottas,1,3,1:32.847
Spanish Grand Prix,ricciardo,1,4,1:33.623
Spanish Grand Prix,perez,1,5,1:35.407
Spanish Grand Prix,ocon,1,6,1:36.329
Spanish Grand Prix,hulkenberg,1,7,1:37.124
Spanish Grand Prix,kevin_magnussen,1,8,1:38.119
Spanish Grand Prix,sainz,1,9,1:39.025
Spanish Grand Prix,grosjean,1,10,1:39.816
Spanish Grand Prix,alonso,1,11,1:40.264
Spanish Grand Prix,wehrlein,1,12,1:40.702
Spanish Grand Prix,stroll,1,13,1:41.304
Spanish Grand Prix,jolyon_palmer,1,14,1:44.121
Spanish Grand Prix,ericsson,1,15,1:44.351
Spanish Grand Prix,vandoorne,1,16,1:45.048
Spanish Grand Prix,kvyat,1,17,1:45.309
Spanish Grand Prix,massa,1,18,1:55.686
Spanish Grand Prix,max_verstappen,1,19,2:40.999
Spanish Grand Prix,hamilton,1,1,1:48.152
Spanish Grand Prix,vettel,1,2,1:49.029
Spanish Grand Prix,bottas,1,3,1:51.072
Spanish Grand Prix,raikkonen,1,4,1:52.295
Spanish Grand Prix,max_verstappen,1,5,1:53.164
Spanish Grand Prix,ricciardo,1,6,1:54.044
Spanish Grand Prix,kevin_magnussen,1,7,1:56.040
Spanish Grand Prix,sainz,1,8,1:57.373
Spanish Grand Prix,leclerc,1,9,1:58.679
Spanish Grand Prix,ocon,1,10,2:00.261
Spanish Grand Prix,alonso,1,11,2:02.514
Spanish Grand Prix,stroll,1,12,2:03.922
Spanish Grand Prix,perez,1,13,2:05.103
Spanish Grand Prix,vandoorne,1,14,2:06.642
Spanish Grand Prix,brendon_hartley,1,15,2:11.078
Spanish Grand Prix,ericsson,1,16,2:11.849
Spanish Grand Prix,sirotkin,1,17,2:15.710
Spanish Grand Prix,hamilton,1,1,1:26.434
Spanish Grand Prix,bottas,1,2,1:28.519
Spanish Grand Prix,max_verstappen,1,3,1:29.414
Spanish Grand Prix,vettel,1,4,1:30.453
Spanish Grand Prix,leclerc,1,5,1:31.214
Spanish Grand Prix,gasly,1,6,1:31.885
Spanish Grand Prix,grosjean,1,7,1:32.573
Spanish Grand Prix,kevin_magnussen,1,8,1:33.075
Spanish Grand Prix,kvyat,1,9,1:33.892
Spanish Grand Prix,albon,1,10,1:34.539
Spanish Grand Prix,sainz,1,11,1:35.138
Spanish Grand Prix,ricciardo,1,12,1:35.756
Spanish Grand Prix,perez,1,13,1:36.385
Spanish Grand Prix,stroll,1,14,1:36.721
Spanish Grand Prix,giovinazzi,1,15,1:37.251
Spanish Grand Prix,norris,1,16,1:37.604
Spanish Grand Prix,kubica,1,17,1:38.564
Spanish Grand Prix,hulkenberg,1,18,1:38.687
Spanish Grand Prix,russell,1,19,1:39.457
Spanish Grand Prix,raikkonen,1,20,1:43.029
70th Anniversary Grand Prix,bottas,1,1,1:32.846
70th Anniversary Grand Prix,hamilton,1,2,1:33.847
70th Anniversary Grand Prix,max_verstappen,1,3,1:35.298
70th Anniversary Grand Prix,hulkenberg,1,4,1:36.138
70th Anniversary Grand Prix,stroll,1,5,1:36.874
70th Anniversary Grand Prix,ricciardo,1,6,1:37.686
70th Anniversary Grand Prix,gasly,1,7,1:38.443
70th Anniversary Grand Prix,norris,1,8,1:39.451
70th Anniversary Grand Prix,albon,1,9,1:39.919
70th Anniversary Grand Prix,leclerc,1,10,1:40.456
70th Anniversary Grand Prix,sainz,1,11,1:40.996
70th Anniversary Grand Prix,ocon,1,12,1:41.495
70th Anniversary Grand Prix,kevin_magnussen,1,13,1:41.958
70th Anniversary Grand Prix,kvyat,1,14,1:42.608
70th Anniversary Grand Prix,giovinazzi,1,15,1:43.606
70th Anniversary Grand Prix,grosjean,1,16,1:43.776
70th Anniversary Grand Prix,russell,1,17,1:44.029
70th Anniversary Grand Prix,latifi,1,18,1:44.999
70th Anniversary Grand Prix,raikkonen,1,19,1:45.241
70th Anniversary Grand Prix,vettel,1,20,1:45.844
Monaco Grand Prix,max_verstappen,1,1,1:21.986
Monaco Grand Prix,bottas,1,2,1:23.015
Monaco Grand Prix,sainz,1,3,1:24.727
Monaco Grand Prix,norris,1,4,1:25.729
Monaco Grand Prix,gasly,1,5,1:26.902
Monaco Grand Prix,hamilton,1,6,1:27.982
Monaco Grand Prix,vettel,1,7,1:28.935
Monaco Grand Prix,perez,1,8,1:29.638
Monaco Grand Prix,giovinazzi,1,9,1:30.113
Monaco Grand Prix,ocon,1,10,1:30.963
Monaco Grand Prix,stroll,1,11,1:31.448
Monaco Grand Prix,raikkonen,1,12,1:33.051
Monaco Grand Prix,ricciardo,1,13,1:33.662
Monaco Grand Prix,alonso,1,14,1:34.069
Monaco Grand Prix,russell,1,15,1:34.901
Monaco Grand Prix,latifi,1,16,1:36.040
Monaco Grand Prix,tsunoda,1,17,1:36.731
Monaco Grand Prix,mick_schumacher,1,18,1:37.443
Monaco Grand Prix,mazepin,1,19,1:38.076
Miami Grand Prix,leclerc,1,1,1:36.677
Miami Grand Prix,max_verstappen,1,2,1:37.528
Miami Grand Prix,sainz,1,3,1:38.365
Miami Grand Prix,perez,1,4,1:39.040
Miami Grand Prix,bottas,1,5,1:39.966
Miami Grand Prix,gasly,1,6,1:40.671
Miami Grand Prix,alonso,1,7,1:41.480
Miami Grand Prix,hamilton,1,8,1:41.774
Miami Grand Prix,norris,1,9,1:42.873
Miami Grand Prix,tsunoda,1,10,1:43.367
Miami Grand Prix,ricciardo,1,11,1:44.136
Miami Grand Prix,mick_schumacher,1,12,1:44.379
Miami Grand Prix,kevin_magnussen,1,13,1:44.954
Miami Grand Prix,zhou,1,14,1:45.500
Miami Grand Prix,russell,1,15,1:46.166
Miami Grand Prix,albon,1,16,1:46.365
Miami Grand Prix,latifi,1,17,1:47.320
Miami Grand Prix,ocon,1,18,1:47.446
Miami Grand Prix,stroll,1,19,1:53.387
Miami Grand Prix,vettel,1,20,1:54.106
